"Horodateur","1. Savez-vous ce qu'est le CI/CD?","2. Avez-vous déjà rencontré des problèmes lors de l'intégration ou du déploiement de code ?","3. Avez-vous déjà utilisé un outil de CI/CD (ex : GitHub Actions, GitLab CI/CD, Jenkins, etc.) ?","4. Pensez-vous que l’adoption du CI/CD est importante dans le développement de projets en équipe?","5. Avez vous songé à l’autoformation ?","6. Avez vous réalisé de l'autoformation pendant votre formation ?","7. Aimeriez-vous en apprendre plus sur le CI/CD à travers :","8. Seriez-vous intéressé par l'utilisation d'outils CI/CD dans vos futurs projets ?","9. Pensez-vous que le CI/CD joue un rôle important dans la vie d'un développeur ?","10. Avez-vous déjà suivi un cours ou une formation sur DevOps ou CI/CD ?","11. Quelle est votre année d’étude ?","12. Quelque chose à rajouter ? ","13. Avez vous suivi le cours sur le CI/CD (Qualité logiciel python) ?","14. Si non, pourquoi ?","15. Le cours en IG3 que nous avons eu sur le CI/CD (Qualité logiciel python) était...","16. A propos de l'emplacement du créneau sur le cours du CI/CD d'IG3","17. Pensez vous qu'il serait pertinent d'ajouter des cours  sur le CI/CD en IG3 ?","18. Avez vous des recommandations pour améliorer notre formation au CI/CD ?","19. Cochez les recommandations qui vous semblent intéressantes"
"2025/03/01 7:35:43 PM UTC+1","Oui","2","Oui, dans le cadre d'un projet;Oui, dans un projet personnel","Oui, c'est essentiel","Oui","Oui","Un module en CMTD","Oui, certainement","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Oui, dans le cadre de mes études","3ème année","","Oui","","1","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Mettre le cours plus tôt dans l'année;Rendre obligatoire son utilisation dans un projet comme ASAIoT;Créer une UE dessus"
"2025/03/02 10:33:39 PM UTC+1","Non","4","Oui, dans le cadre d'un projet;Oui, dans un projet personnel","Oui, c'est essentiel","Oui","Oui","Des ateliers pratiques en autonomie","Oui, certainement","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Oui, dans le cadre de mes études","4ème année","","","","","","","",""
"2025/03/02 10:35:05 PM UTC+1","Oui","3","Non, mais j’en ai entendu parler","Oui, mais seulement pour les grandes entreprises","Oui","Oui","Des vidéos et tutoriels en ligne","Oui, certainement","Peut-être, cela dépend du type de projet et de l'équipe.","Non, mais j’en ai entendu parler","3ème année","","Oui","","1","Il était au bon moment","Oui","Fournir des docs sur ces sujets, ou bien des liens vers des vidéos qui peuvent compléter notre apprentissage sur ces sujets","Créer une UE dessus"
"2025/03/02 10:39:45 PM UTC+1","Oui","4","Non, mais j’en ai entendu parler","Je ne sais pas","Oui","Non","Un module en CMTD","Oui, si c'est facile à mettre en place","Peut-être, cela dépend du type de projet et de l'équipe.","Non, mais j’en ai entendu parler","3ème année","","Oui","","3","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","Pour l'instant en IG3, on a abordé ce sujet très rapidement (intervention en qualité logicielle) mais cela reste peu pour pouvoir vraiment s'en servir par la suite, lors de projets par exemple. Il faudrait en parler un peu plus, nous montrer comment s'en servir, mieux le définir etc
En voyant le sujet du questionnaire, je n'ai pas de suite fait le lien avec l'intervention mentionnée précédemment","Mettre le cours plus tôt dans l'année;Rendre obligatoire son utilisation dans un projet comme ASAIoT"
"2025/03/02 10:46:53 PM UTC+1","Non","5","Non, mais j’en ai entendu parler","Je ne sais pas","Oui","Oui","Des ateliers pratiques en autonomie","Oui, si c'est facile à mettre en place","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Non, mais j’en ai entendu parler","3ème année","","Oui","","2","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Mettre le cours plus tôt dans l'année"
"2025/03/02 10:58:14 PM UTC+1","Non","4","Oui, dans le cadre d'un projet","Je ne sais pas","Non","Non","Des vidéos et tutoriels en ligne","Oui, si c'est facile à mettre en place","Peut-être, cela dépend du type de projet et de l'équipe.","Non, je ne connais pas ce sujet","3ème année","","Non","Période d'examens","3","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Mettre le cours plus tôt dans l'année"
"2025/03/03 12:08:57 AM UTC+1","Non","6","Oui, dans le cadre d'un projet","Oui, c'est essentiel","Oui","Non","Des vidéos et tutoriels en ligne","Oui, si c'est facile à mettre en place","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Non, je ne connais pas ce sujet","3ème année","..","Oui"," ","3","Il était trop tôt","Oui","Non pas de recommandations ","Rendre obligatoire son utilisation dans un projet comme ASAIoT"
"2025/03/03 12:20:33 AM UTC+1","Non","5","Non, mais j’en ai entendu parler","Oui, mais seulement pour les grandes entreprises","Oui","Oui","Des vidéos et tutoriels en ligne","Oui, si c'est facile à mettre en place","Peut-être, cela dépend du type de projet et de l'équipe.","Non, mais j’en ai entendu parler","3ème année","","Oui","","2","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Mettre le cours plus tôt dans l'année"
"2025/03/03 7:28:51 AM UTC+1","Oui","5","Oui, dans un projet personnel","Oui, c'est essentiel","Oui","Oui","Des ateliers pratiques en autonomie","Oui, si c'est facile à mettre en place","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Oui, par une formation personnelle","3ème année","","Oui","","2","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","Des propositions d'autoformations personnelles","Mettre le cours plus tôt dans l'année;Créer une UE dessus"
"2025/03/03 7:49:08 AM UTC+1","Non","4","Oui, dans le cadre d'un projet","Oui, c'est essentiel","Oui","Oui","Des vidéos et tutoriels en ligne","Oui, si c'est facile à mettre en place","Peut-être, cela dépend du type de projet et de l'équipe.","Oui, dans le cadre de mes études","3ème année","","Oui","","3","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Non","","Mettre le cours plus tôt dans l'année"
"2025/03/03 8:07:46 AM UTC+1","Non","3","Non, jamais","Je ne sais pas","Oui","Non","Des vidéos et tutoriels en ligne","Oui, si c'est facile à mettre en place","Peut-être, cela dépend du type de projet et de l'équipe.","Non, je ne connais pas ce sujet","3ème année","","Oui","","2","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Mettre le cours plus tôt dans l'année"
"2025/03/03 8:40:09 AM UTC+1","Non","5","Oui, dans le cadre d'un projet","Oui, c'est essentiel","Oui","Oui","Un module en CMTD","Oui, certainement","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Oui, dans le cadre de mes études","3ème année","","Oui","","2","Il était au bon moment","Oui","","Mettre le cours plus tôt dans l'année"
"2025/03/03 12:53:21 PM UTC+1","Non","2","Non, jamais","Je ne sais pas","Oui","Non","Un module en CMTD","Oui, si c'est facile à mettre en place","Peut-être, cela dépend du type de projet et de l'équipe.","Non, je ne connais pas ce sujet","3ème année","","Oui","","3","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Rendre obligatoire son utilisation dans un projet comme ASAIoT"
"2025/03/03 1:41:32 PM UTC+1","Non","4","Non, jamais","Je ne sais pas","Non","Non","Je ne suis pas intéressé","Oui, si c'est facile à mettre en place","Peut-être, cela dépend du type de projet et de l'équipe.","Non, je ne connais pas ce sujet","3ème année","","Oui","","3","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Non","","Mettre le cours plus tôt dans l'année"
"2025/03/03 1:47:45 PM UTC+1","Oui","6","Oui, dans le cadre d'un projet","Oui, c'est essentiel","Oui","Oui","Des ateliers pratiques en autonomie","Oui, si c'est facile à mettre en place","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Oui, dans le cadre de mes études","3ème année","","Oui","","2","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Mettre le cours plus tôt dans l'année"
"2025/03/03 2:54:38 PM UTC+1","Non","1","Non, jamais","Oui, c'est essentiel","Oui","Non","Un module en CMTD","Oui, certainement","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Non, je ne connais pas ce sujet","3ème année","Rien du tout ","Oui","","2","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Non","","Mettre le cours plus tôt dans l'année;Rendre obligatoire son utilisation dans un projet comme ASAIoT"
"2025/03/03 6:43:30 PM UTC+1","Non","5","Oui, dans le cadre d'un projet","Oui, c'est essentiel","Oui","Oui","Un module en CMTD","Oui, si c'est facile à mettre en place","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Oui, dans le cadre de mes études","3ème année","","Oui","","4","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","Les 2 td n ont pas été suffisant car en un seul vendredi juste avant les exam et le prof allait vite on avait pas le temps de suivre racontait trop en trop peu de temps resultat rien retenu(pr le cours python) pour l'améliorer il faudrait se fixer un objectif d d'apprentissage precis et a une autre periode. Les tp gitlab etaient bien mais un peu tard comparé au projet piscine.","Mettre le cours plus tôt dans l'année"
"2025/03/04 5:41:08 AM UTC+1","Non","4","Oui, dans le cadre d'un projet;Oui, dans un projet personnel","Oui, c'est essentiel","Non","Non","Des ateliers pratiques en autonomie","Oui, certainement","Peut-être, cela dépend du type de projet et de l'équipe.","Non, je ne connais pas ce sujet","3ème année","","Oui","","4","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","Concernant le cours que nous avons eu, il aurait dû être mieux organisé","Mettre le cours plus tôt dans l'année"
"2025/03/04 11:36:09 AM UTC+1","Non","3","Oui, dans le cadre d'un projet","Oui, c'est essentiel","Non","Non","Un module en CMTD","Oui, si c'est facile à mettre en place","Peut-être, cela dépend du type de projet et de l'équipe.","Non, mais j’en ai entendu parler","3ème année","","Non","J'y étais mais j'ai fait piscine ","2","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Mettre le cours plus tôt dans l'année"
"2025/03/04 11:50:11 AM UTC+1","Non","5","Non, jamais","Je ne sais pas","Oui","Oui","Un module en CMTD","Oui, si c'est facile à mettre en place","Peut-être, cela dépend du type de projet et de l'équipe.","Non, je ne connais pas ce sujet","3ème année","","Non","Empêchement (RDV Administratif, Maladie..)","2","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Non","","Mettre le cours plus tôt dans l'année"
"2025/03/05 3:32:30 PM UTC+1","Non","4","Non, jamais","Oui, c'est essentiel","Non","Non","Un module en CMTD","Oui, certainement","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Oui, dans le cadre de mes études","3ème année","","Oui","","3","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Créer une UE dessus"
"2025/03/06 6:52:03 PM UTC+1","Non","4","Oui, dans le cadre d'un projet","Oui, mais seulement pour les grandes entreprises","Non","Oui","Un module en CMTD","Oui, si c'est facile à mettre en place","Peut-être, cela dépend du type de projet et de l'équipe.","Non, je ne connais pas ce sujet","3ème année","","Non","Période d'examens","4","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Rendre obligatoire son utilisation dans un projet comme ASAIoT"
"2025/03/11 1:28:15 PM UTC+1","Non","3","Oui, dans le cadre d'un projet;Oui, dans un projet personnel","Oui, c'est essentiel","Oui","Oui","Un module en CMTD","Oui, certainement","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Non, mais j’en ai entendu parler","3ème année","","Oui","","2","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Mettre le cours plus tôt dans l'année;Rendre obligatoire son utilisation dans un projet comme ASAIoT;Créer une UE dessus"
"2025/03/11 2:07:55 PM UTC+1","Non","5","Oui, dans le cadre d'un projet","Oui, c'est essentiel","Oui","Non","Des ateliers pratiques en autonomie","Oui, certainement","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Non, mais j’en ai entendu parler","3ème année","","Oui","","2","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Mettre le cours plus tôt dans l'année"
"2025/03/12 10:15:04 AM UTC+1","Non","4","Non, jamais","Pas vraiment nécessaire","Oui","Oui","Un module en CMTD","Oui, certainement","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Oui, dans le cadre de mes études","3ème année","","Oui","","1","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Mettre le cours plus tôt dans l'année;Rendre obligatoire son utilisation dans un projet comme ASAIoT"
"2025/03/12 12:39:46 PM UTC+1","Non","5","Oui, dans le cadre d'un projet","Oui, c'est essentiel","Non","Non","Un module en CMTD","Oui, certainement","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Non, mais j’en ai entendu parler","3ème année","","Non","Période d'examens","3","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Mettre le cours plus tôt dans l'année"
"2025/03/16 2:13:57 PM UTC+1","Non","6","Oui, dans le cadre d'un projet;Oui, dans un projet personnel","Oui, mais seulement pour les grandes entreprises","Oui","Oui","Des vidéos et tutoriels en ligne","Oui, si c'est facile à mettre en place","Peut-être, cela dépend du type de projet et de l'équipe.","Oui, dans le cadre de mes études","3ème année","","Oui","","3","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Non","","Mettre le cours plus tôt dans l'année;Rendre obligatoire son utilisation dans un projet comme ASAIoT;Créer une UE dessus"
"2025/03/16 2:30:01 PM UTC+1","Non","1","Oui, dans le cadre d'un projet","Oui, c'est essentiel","Oui","Oui","Un module en CMTD","Oui, certainement","Oui, c'est essentiel pour améliorer la qualité et la rapidité du développement.","Non, mais j’en ai entendu parler","3ème année","","Oui","","2","Il aurait été préférable de l'avoir avant (notamment dans le cadre du projet FASE)","Oui","","Mettre le cours plus tôt dans l'année"